org,date,position_summary,quote,doc_url,source_page
"Culp & Kelly, LLP",,"Urges USBR to reduce reliance on hydrology ensembles based solely on historical observations, prioritize temperature-adjusted ensembles that account for future warming, investigate GCM/downscaling artifacts, and ensure sampling of plausible dry-end scenarios to guard against underestimated drought risks.","we ask that USBR consider removing or substantially limit the number of hydrology scenarios that are based entirely on historical observations, and include a larger number of scenarios that account for future warming",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Department of Energy, Western Area Power Administration, Colorado River Storage Project",2024-06-03,"WAPA-CRSP supports including the NPS/USFWS joint alternatives in the Post-2026 EIS; asks Reclamation to consider LTEMP cumulative impacts, target Lake Powell ≥3,570 ft on Oct 1, maintain Pearce Ferry fish barrier, consider combined Mead/Powell accounting, and shift Powell accounting to April 1.","Target Lake Powell elevation to be at or above 3,570 feet on October 1.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024_06_03_WAPA_Letter_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
Dolores River Boating Advocates,2023-08-14,"Asks that post-2026 operational guidelines prioritize Tribal Nations' water rights and infrastructure, increase flexibility, support conservation and ecosystem preservation, engage in Upper Basin planning, consider permanent water-use cuts, improve tributary and monitoring infrastructure, and fund restoration.","Overall, the post-2026 Operational plan need to prioritize Tribal Nations water rights and infrastructure, increasing flexibility, understanding variability in the face of climate change, and ensure conservation and ecosystem preservation.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Dolores Water Conservancy District,2020-11-16,"Requests the Draft 7.D Review be expanded to evaluate impacts to Lake Powell and the Upper Basin, analyze alternative Powell operations to protect Upper Basin uses and planned development, and examine potential future impacts from Lower Basin ICS withdrawals.",I do not think that the 7.D Review adequately addressed impacts to Lake Powell. It could have contrasted alternate operations of Powell that would consider protection of UB uses now and planned future development.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_DWCD_Comment Form.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Dolores Water Conservancy District,2023-08-15,"Opposes operations that drive Lake Powell to dangerously low levels; urges Reclamation to evaluate alternatives that force Lower Basin compliance, consider evaporation and tributary accruals, limit Powell releases to protect Lee Ferry deliveries, and use Long-Range Operating Criteria for No Action analysis.",DWCD is concerned that Reclamation operations of Lake Powell and Lake Mead not continue to contribute to the challenges of drought by artificially driving Lake Powell to dangerously low levels,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Environmental Protection Agency,2023-12-08,"EPA requests Reclamation revise the Final SEIS to incorporate environmental justice (EO 14096) and Justice40 considerations, address Tribal impacts and historic inequities, improve government-to-government consultation, assess Tribal water rights, and include air-quality mitigation (Salton Sea) and post-2026 planning guidance.",EPA identified areas for improvement in the analysis and recommends these be addressed in the Final SEIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/380_Environmental Protection Agency_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
ervan cy Denver Water District,,No policy position visible in this excerpt; only signature/affiliation is shown.,ervan cy Denver Water District,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Family Farm Alliance,2022-06,"Supports preserving Western irrigated agriculture and increasing water yield through watershed and forest management to ensure reliable, affordable irrigation supplies for farmers and ranchers.","To ensure the availability of reliable, affordable irrigation water supplies to Western farmers and ranchers.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Food and Water Action,,"Demands prioritizing households, communities, and wildlife over agribusiness in Colorado River conservation, citing mismanagement and factory farm impacts on water security.","Please prioritize households, communities, and wildlife over agribusiness greed.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Form_Letters_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Fort McDowell Mohave I11dion Community,,"Expresses concern that its allocation was conditioned on construction of a dam and relocation of part of the reservation, implying objection to such conditions.",Concern was expressed that the allocation to Fort McDowell was conditioned on the construction of Onne Dam and relocation of part of the reservation.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Fort McDowell Yavapai Nation,2023-11-28,Supports Reclamation efforts to maintain healthy reservoir levels and participates in conservation; urges BOR to ensure the Nation's water settlement assets remain available indefinitely and that the Tribe is treated equitably regarding Indian Trust Assets.,The Nation is supportive of BOR efforts to maintain healthy reservoir levels and is currently participating in Lower Colorado system conservation under the Lower Colorado Conservation and Efficiency Program.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/109_Fort McDowell Yavapai Nation_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Fort Yuma Quechan Indian Tribe,,"Requests post-2026 EIS protect environmental and cultural needs, analyze reaches below Imperial Dam, oppose out-of-priority cuts to tribal water rights, support extending ICS mechanisms and compensated forbearance to enable tribal participation.",It is of the utmost importance to the Tribe and our members that the Colorado continues to flow as a living river.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Front Range Water Council (Denver Water, Northern Water, Pueblo Water, Aurora Water, Colorado Springs Utilities, the Southeastern Colorado Water Conservancy District, Twin Lakes Reservoir and Canal Company)",2023-12-11,"Supports the proposed action's purpose and hydrology assumptions but requests additional safeguards to protect Lake Powell (including allowing releases below 6.0 MAF to maintain 3,500 ft), inclusion/reanalysis of Alternatives 1 and 2 with additional 2023–24 shortages, accounting for Lower Basin system losses, and limiting Secretary extraordinary-operations scope.",Reclamation should begin to account for system losses within the Lower Basin,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/294_Joint Local Water Agencies_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Front WaterRANGE WATER COUNCIL,2023-08-15,"Supports using the Law of the River as basis, limits EIS scope to Lake Powell and Lake Mead operations, preserve Upper Basin rights and hydropower, consider reduced Lower Basin use, and ensure adaptive operations to improve system stability.","The EIS operat ional scenarios should be based upon the Law of the River, 1922 Colorado River Compact, the 1948 Upper Colorado River Basin Compact, and the 1944 Treaty with Mexico.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Gadsden Company; Sonoran Wines; Cruz Farm; Greater Kingman Area Chamber of Commerce; Bullhead City Chamber of Commerce; Greater Flagstaff Chamber of Commerce,2023-08-15,"Urges Bureau to develop Post-2026 strategies that plan for hotter, drier, and more variable hydrology, ensure flexibility to deliver predictable, reliable water supplies, and pursue collaborative community solutions.",The Post-2026 Guidelines should plan for the River we have and not expect the River we want:,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",,Urges DOI/Bureau of Reclamation to include the Salton Sea in Post-2026 operational guidelines; opposes in-basin/perimeter brine lake approach and supports seawater importation as a feasible restoration solution.,I respectfully urge the Department of the Interior / Bureau of Reclamation to include the Salton Sea in consideration for the Development of Post-2026 Operational Guidelines and Strategies.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",,"Criticizes mismanagement of Salton Sea efforts and urges adoption of the submitter's architectural restoration plan (synchronized projects: desalination, geothermal, hydro, solar) and formation of a special committee to implement it; opposes current unsynchronized SSMP approach.","Therefore, it is imperative that the architectural plan (my proposal) is accepted and then focuses on its implementation which includes many synchronized projects (hydro, solar, geothermal, desalinization, etc.).",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",,Opposes the ‘In‑land/Perimeter/Brine Lake’ approach; urges seawater importation and full Salton Sea restoration using the author's geothermal/solar/pipeline technologies and compliance with state restoration orders; contends their plan was suppressed.,The “In-land Solution” or “Perimeter/Brine Lake” is just the opposite of tackling the Climate Crisis.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",,"Requests that DOI/Bureau of Reclamation evaluate and adopt its Salton Sea restoration proposal, initiate a global contest respecting patent law, ensure transparency, investigate mismanagement, and harmonize projects to reduce salinity, restore habitat, and generate revenue.","I respectfully urge the DEPARTMENT OF THE INTERIOR / Bureau of Reclamation, as higher authority, to get engaged in solving the problem of the Salton Sea",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",,"Urges the Bureau to include the Salton Sea in Post-2026 operational consideration, to speedily evaluate the submitter's proposal, and to open an investigation into alleged local agency wrongdoing.",I respectfully urge members of the Department of the Interior – Bureau of Reclamation to include the Salton Sea in consideration for the Development of Post-2026 Operational Guidelines and Strategies.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2016-09,"Asked California Secretary John Laird to consider terminating a Memorandum of Understanding before Sept 30, 2016 based on new information not previously presented.","asking him to consider terminating Memorandum of Understanding (MOU) before September 30, 2016",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2017-06-06,Requested that Secretary John Laird inform Governor Brown about the existence of the submitter's Salton Sea restoration proposal.,asking him to inform Governor Brown about the existence of my proposal.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2020-05-26,Responded to the California Regional Water Quality Control Board to present the proposal and warned that influential parties appear intent on getting rid of the Salton Sea under current plans.,there is a group of influential people who would like to get rid of the Salton Sea,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2020-07-30,"Submitted a five‑page letter summarizing problems with the Salton Sea and proposing a solution, urging recipients to read and consider the proposal.","In that letter, I have summarized problems and a solution. Please read it.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2020-09-29,"Strongly opposed the SSMP 'Current Course of Action' Perimeter Lake and related dust suppression projects, arguing they rest on a false assumption excluding seawater importation and risk ecological disaster.",I strongly oppose the “Current Course of Action” which is the “Perimeter Lake” and related dust suppression projects,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2020-10-21,"Commented on the Notice for public comment on the Basin Plan, reminding the Board of the submitter's proposal and its relevance to preserving and enhancing regional water quality.",I reminded them about the existence of my proposal and what it does,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2022-09-07,Provided a six‑page letter to Salton Sea Task Force members summarizing problems and offering a solution for Salton Sea restoration.,"In that letter, I have summarized problems and a solution. Please read it.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2022-09-23,"Told the Lithium Valley Commission that the proposal does not interfere with lithium extraction from geothermal brine and can supply needed water, uniting both projects successfully.",my proposal does not interfere with the extraction of lithium from geothermal brine if there is a dike built around the desired area,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2023-01-25,"Comments on the Salton Sea Long Range Plan urging CNRA not to rely on the UCSC Panel report, calling that report fraudulent and advocating consideration of the submitter's proposal.",I urge the California Natural Resources Agency not to use the UCSC Panel’s report as a reference because it is a fraudulent report.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2023-01-25,"As public comment on the Long-Range Plan draft, urged CNRA‑SSMP to stop the current course of action, calling it a 'drive in the wrong direction' and pointing out factual problems.",the “current course of action” for the restoration of the Salton Sea is a “drive in the wrong direction”,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2023-06-06,"Responded to the US Army Corps of Engineers, urging thorough study of the proposal and resisting pressure from local interests seeking to eliminate the Salton Sea.",I urged the U.S. Army Corps of Engineers to study my proposal thoroughly and not succumb to the pressure of a group of influential people,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2023-07-28,"Requests review and acceptance of the submitter's architectural plan to restore the Salton Sea and calls for formation of a special committee to implement synchronized projects (hydro, solar, geothermal, desalination).",it is imperative that the architectural plan (my proposal) is accepted and then focuses on its implementation,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2023-12-01,"Opposes the North Lake Pilot Demonstration Project and related in‑basin/Perimeter-Brine solutions; calls the $19.25M pilot misguided and a 'scam', urges halting the current course, enforcing state policy, and pursuing feasible long-term restoration (e.g., seawater importation).",There is no logical reason for spending $19.25 million to supposedly understand what kind of water quality and water supply was available.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/56_Geothermal Worldwide_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
"Geothermal Worldwide, Inc.",2023-12-11,"Urges the Bureau of Reclamation to include the Salton Sea in post-2026 operations analysis, reopen investigation, and promptly evaluate Geothermal Worldwide's detailed restoration proposal to avoid environmental, public health, and economic harms from losing the Salton Sea.",The BoR must review the situation of the Salton Sea independently especially after receiving verifiable information of wrongdoing (manipulative conducts) of several agencies and threat of incoming ecological disaster with serious consequences if the ‘current course of action’ continues.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/290_Geothermal Worldwide_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
"Geothermal Worldwide, Inc.",,"Urges adoption of an architectural plan to restore and refill the Salton Sea by importing seawater and using geothermal/solar desalination; requests inclusion of the author as consultant, a special implementation commission, and an investigation into parties opposing restoration.",The architectural plan successfully restores and refills the Salton Sea to the level of the 1950s and the ’60s and reestablishes huge wildlife sanctuaries despite reduced inflow of water from the Colorado River.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Geothermal Worldwide, Inc.",2023-08-15,"Urges Reclamation to include the Salton Sea in Post-2026 operational guidelines; opposes the current smaller-lake/perimeter-brine approach and related dust-suppression projects; supports seawater importation and calls for expert, creative planning to avert ecological and public-health disaster.",I respectfully urge the Department of the Interior / Bureau of Reclamation to include the Salton Sea in consideration for the Development of Post-2026 Operational Guidelines and Strategies.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Getches-Wilkinson Center for Natural Resources, Energy, and the Environment, Colorado School of Law",2023-08-15,Requests the Bureau discuss Colorado's conditional water rights (notably held by oil shale companies) with Colorado and include disclosure and analysis of this issue in the NEPA analysis for post-2026 operating guidelines.,We encourage the Bureau to discuss the issue of conditional water rights with Colorado to understand how Colorado is planning for the potential that those rights could be put to beneficial use.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Gila River Community,2023-06-08,"Requests that all 38 sovereign governments (U.S., seven basin states, and 30 basin tribes) be included as equal sovereigns whenever the U.S. meets with basin state principals.",the table should include representatives from all 38 sovereign governments in the United States’ portion of the basin.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Gila River Indian Community,,Asks the EIS to assess whether reductions in Colorado River deliveries to tribes with statutory entitlements will be permanent or nearly permanent and to address the need to find replacement water; seeks protection of tribal water rights.,Thank you for considering the Community 's views on what the EIS should cover.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Gila River Indian Community,,"Requests increase of proposed allocation from 173,100 to 276,576 acre-feet/year; asserts the Secretary erred in estimating presently developed acreage, available surface water, and effective groundwater yields.","requested that its proposed allocation of 173,100 acre-feet per year be increased by an additional 103,476 acre-feet per year",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Gila River Indian Community,2020-11-13,"Requests the Report acknowledge failures in government-to-government tribal consultation and document how shortcomings were addressed; demands explicit, meaningful tribal consultation in any replacement Guidelines; and asks the Report to reflect that ICS accumulation limits prevent the Community from creating more ICS.","The Community requests that these consultation missteps be addressed in the Report, as well as how the United States compensated for this initial mistake.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_GRIC.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
GILA RIVER INDIAN COMMUNITY,2023-08-15,"Supports an EIS that stabilizes the Colorado River System, adopts flexible conservation tools, fairly shares reductions across all entitlement holders, incorporates Reclamation's trust responsibilities to protect tribal water resources, and addresses operations of the entire river system.",all Colorado River water users must now address the imbalance between supply and demand within the Colorado River System.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
GILA RIVER INDIAN COMMUNITY,2023-12-11,Requests any reductions to Tribal statutory water entitlements be voluntary and compensated or replaced; urges Reclamation to revise SEIS to recognize CAP Tribal entitlements as Indian Trust Assets (revise Section 3.18); wait for Q1 2024 runoff data; prioritize Bucket 2 efficiency and supply projects.,"Regardless of which Alternative Reclamation ultimately adopts, Reclamation should ensure any and all reductions to Tribal statutory water entitlements are voluntary and compensated or replaced.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/320_Gila River Indian Community_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Gila River Indian Community,2024-03-29,"Requests Reclamation model the Community Alternative: middle-ground assumptions that more fairly share cuts, protect tribal water settlements, and ensure mitigation/replacement for tribal losses; opposes the Upper Basin and the Lower Basin alternatives as unfairly burdening Arizona and tribes.","The LB Altemative places too much of its proposed Initial Reduction Zone and Static Reduction Zone reduction volumes on Arizona, with a maximum of 760,000 acre-feet per year ('AFY').",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/Ltr_Camille_Touton_2024001Signed_GRIC_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
Gila RiverPima-Maricopa Indian R eservation,,"Requests a large increase to its proposed CAP allocation, alleging underestimates of developed acreage and overestimates of surface water and groundwater; seeks allocation suitable for permanent tribal homeland development.","The Gila River Indian Community has requested that its proposed allocation of 173,100 acre-feet per year be increased by an additional 103,476 acre-feet per year, bringing the total requested annual allocation to 276,576 acre-feet.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
gilbert,2023-08-15,"Supports and reiterates AMWUA comments; requests Post-2026 operations provide increased flexibility and reliability, use best available science, ensure equitable basin-wide shortage sharing, and involve municipal water providers in collaboration and consultation.","Gilbert appreciates the opportunity to comment on the Post-2026 Colorado River operations and is submitting this letter to support and reiterate the comments made by the Arizona Municipal Water Users Association (AWMUA), of which we are a member.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Glen Canyon Institute,,"Calls for using less water and rethinking Glen Canyon Dam: analyze full bypass of the dam, use Lake Powell as backup, prioritize filling Lake Mead first and adopt a ""don't fill past 3,550"" Powell policy.","The EIS should analyze the full bypass of Glen Canyon Dam, using Lake Powell as a backup facility.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Form_Letters_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Glen Canyon Institute,,"Urges Reclamation to analyze full bypass and structural modifications to Glen Canyon Dam, model low-to-no reservoir scenarios, and include these engineering limitations and environmental impacts in Post-2026 operational planning to address risk of Powell dropping to deadpool.",Reclamation’s ongoing efforts to study the structural modification of Glen Canyon Dam must be incorporated into the analysis and process of the Post-2026 Operational Guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Glen Canyon Institute,2023-08-15,Highlights the Colorado River’s over-allocation and climate-driven decline and urges Reclamation to pursue alternatives that provide options for water managers while protecting environmental resources.,Now is the time for actively addressing alternatives that can provide options for water managers while protecting environmental resources.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Glen Canyon Institute,2023-12-11,"Requests the SEIS model drier-than-2023 hydrology, include low/no-reservoir and full-bypass Glen Canyon Dam scenarios, and adopt more conservative forecasts using wider datasets in 24- and 60-month projections to prepare for critical Powell/Mead declines.","We believe Reclamation should incorporate a wider set of data, like those used and suggested by the Futures of the Colorado Group10 and Western Water Assessment11, in 24-month and 60-month projections.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/297_Joint Organizations_Glen Canyon Institute_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Glen Canyon Institute and other signers to this letter,,"Requests Post-2026 NEPA include tribal consultation, a comprehensive sediment management plan for Glen and Grand Canyon, assistance for NPS planning, and analysis of operational alternatives including reservoir consolidation and prioritizing Lake Mead with Lake Powell operated at low or run-of-river levels.","A sediment management plan should include some monitoring of the Paiute Farms waterfall and how it is impacting resources above the 3,700 elevation level.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Glen Canyon Institute, Utah Rivers Council, and Great Basin Water Network",,"Requests the EIS include an alternative to re-engineer Glen Canyon Dam for run-of-river operations, retrofit turbines, plan for much lower future flows using broader modeling, and protect downstream ecosystems and treaty/tribal obligations.",it’s imperative that the Post-2026 Operational Guidelines EIS include an alternative where Glen Canyon dam is re-engineered so that it can be operated as a “run of river” facility,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon Chapter Protect the Grand Canyon Ecoregion Campaign,2023-08-15,"Requests post-2026 operations prioritize endangered species restoration, protect values of Grand Canyon National Park and Glen Canyon National Recreation Area, and ensure equitable water distribution, citing legal obligations under NPS Organic Act, ESA, and Grand Canyon Protection Act.","The post-2026 operations must prioritize endangered species restoration, the values within Grand Canyon National Park and Glen Canyon National Recreation Area, and equitable water distribution.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon Private Boaters’ Association,,"Questions the premise that Glen Canyon Dam must operate per its pre-1956 intended design; urges re-evaluation of dam purpose given climate change, transparency about hydropower prioritization, reconsideration of daily peaking flows, and exploration of alternative power sources like Navajo solar.",GCPBA challenges the assertion that Glen Canyon Dam should continue to operate under its intended pre-1956 design.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon Private Boaters’ Association,2023-08-08,"Advocates for fair access for self-outfitted/non-commercial river runners and provides comments on the scope of the SEIS for post-2026 operations to protect resources and ensure equal, timely opportunity for float trips through Grand Canyon.",GCPBA was established in 1996 as a non-profit 501(c3) organization to provide the self-outfitted boating public with an advocate seeking to achieve fair access for the non-commercial river runner in Grand Canyon,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon River Guides,,"Urges Reclamation to include alternatives that stabilize the basin by reducing consumptive use to match natural supply, strengthen Purpose and Need (use climate/aridification), include NPS and Tribes as cooperating agencies, raise minimum flows for safety, and consider managing Powell and Mead as one reservoir.",Balancing and stabilizing the system so that long term average consumptive uses and losses do not exceed the natural supply is absolutely imperative for the long-term sustainability of the Colorado River system,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
