entity,date,action_type,summary,dollars_per_AF,total_dollars,acre_feet,platform,doc_url,quote,confidence
Coachella Valley Water District,,resolution,"Consider Resolution No. 1167 supporting a WaterSMART Title XVI WIIN Act Water Reclamation and Reuse grant proposal for the Carpinteria Advanced Purification Project; WestWater Research budget revised from $72,000 to $86,000.",,86000,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=234,Consider Resolution No. 1167 Supporting the agency proposal for federal financial assistance authorized by WaterSMART,medium
Coachella Valley Water District,,vote,"Board consideration of appointments to committees including Recycled Water Committee (Matt Roberts and Casey Balch, alternates Case Van Wingerden and vacant).",,,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=228,Recycled Water (currently) Matt Roberts and Casey Balch Alternates: Case Van Wingerden and vacant,medium
Coachella Valley Water District,,program,"Consider authorization to engage appraisal services for CAPP (not to exceed $5,000) and to participate in the CCWA Surplus Water Transfer Program.",,5000,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=220,Consider authorization to participate in the CCWA Surplus Water Transfer Program,medium
Coachella Valley Water District,,report,General Manager to consider attending the California Water Reuse Conference September 15-17 (for information).,,,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=214,"Consider attending California Water Reuse Conference September 15-17 (for information, General Manager McDonald)",medium
Coachella Valley Water District,,agreement,"Consider engaging M Cubed to update CAPP economic analysis (not to exceed $15,200) and Woodard & Curran to assist with USBR Water Management Plan 5-year update (not to exceed $18,050).",,,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=211,"Consider Engaging M Cubed to update Economic Analysis for CAPP in an amount not to exceed $15,200",medium
Coachella Valley Water District,,vote,"Consider appointments to Board Committees, including Recycled Water Committee and Rate & Budget Committee (appointment of directors and alternates).",,,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=205,Consider appointments to Board Committees 1. Recycled Water Committee Matt Roberts and Casey Balch Alternates: Shirley Johnson and Case Van Wingerden,medium
Coachella Valley Water District,,agreement,"Consider engaging Montgomery & Associates in an amount not to exceed $162,000 for CAPP hydrogeologic modeling services (for action, General Manager McDonald).",,162000,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=200,"Consider Engaging Montgomery & Associates in an Amount not to Exceed $162,000 for CAPP Hydrogeologic Modeling Services (for action, General Manager McDonald)",medium
Coachella Valley Water District,,agreement,"Consider engaging FM3 Research to conduct customer polling on CAPP concerns (for action, General Manager McDonald).",,,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=227,"Consider engaging FM3 Research to conduct customer polling on CAPP concerns (for action, General Manager McDonald)",medium
Coachella Valley Water District,,resolution,"Consider approval of the CAPP EIR Addendum and related CAPP JEPA and Ground Lease (for action, General Manager McDonald).",,,,granicus,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=225,"Consider approval of the CAPP EIR Addendum (for action, General Manager McDonald)",medium
Coachella Valley Water District,2023-10-11,report,"General Manager McDonald presented an update on CAPP funding sources, total value, reimbursement eligibility and timing (CAPP Funding Update).",,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=200&doc_id=fcb89d17-84b6-11ee-852f-0050569183fa,"General Manager McDonald gave an update on CAPP Funding Sources, Total Value, Eligibility for Reimbursement, Month Eligible for Reimbursement and Time from Reimbursement Request to Payment.",high
Coachella Valley Water District,2023-12-13,report,"Directors Balch and Roberts gave a verbal report on the Recycled Water Committee meeting held December 11, 2023.",,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=204&doc_id=c1497d18-c082-11ee-8fe8-0050569183fa,"RECYCLED WATER COMMITTEE MEETING Directors Balch and Roberts gave a verbal report on the Recycled Water Committee meeting that was held on December 11, 2023",high
Coachella Valley Water District,2024-01-24,vote,Board approved appointments to committees including Recycled Water Committee: Matt Roberts and Casey Balch with alternates Shirley Johnson & Case Van Wingerden.,,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=205&doc_id=05724881-d274-11ee-8fe8-0050569183fa,Recycled Water Committee Matt Roberts and Casey Balch Alternates: Shirley Johnson & Case Van Wingerden,high
Coachella Valley Water District,2024-08-14,report,"General Manager McDonald presented to consider attending the California Water Reuse Conference Sept 15-17, 2024 (for information).",,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=214&doc_id=a97e19e8-6593-11ef-9b71-005056a89546,"CALIFORNIA WATER REUSE CONFERENCE General Manager McDonald presented to consider attending California Water Reuse Conference September 15-17, 2024.",high
Coachella Valley Water District,2024-11-13,vote,"Board approved the CAPP EIR Addendum by motion (motion carried 5-0) as presented by WSC (minutes of Nov 13, 2024).",,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=225&doc_id=7d470897-c3e6-11ef-a9e2-005056a89546,"Director Holcombe moved, and Director Balch seconded the motion approving the CAPP EIR Addendum. The motion carried by a 5-0 vote.",high
Coachella Valley Water District,2024-12-11,vote,"Board engaged FM3 Research to conduct customer polling; motion carried by a 5-0 vote (minutes of Dec 11, 2024).",,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=227&doc_id=0c768465-d2a0-11ef-a9e2-005056a89546,Engage FM3 Research to conduct customer polling. The motion carried by a 5-0 vote.,high
Coachella Valley Water District,2025-01-08,vote,Board approved appointments to committees including Recycled Water Committee: Matt Roberts & Casey Balch with alternates Case Van Wingerden & Patrick O’Connor.,,,,granicus,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=228&doc_id=47948d40-e017-11ef-a9e2-005056a89546,Recycled Water Committee Matt Roberts & Casey Balch Alternates: Case Van Wingerden & Patrick O’Connor,high
Los Angeles Department of Water and Power,2024-08-13,report,LADWP staff's water demand analysis determined the net increase in total water demand for the 6136 Manchester Avenue Apartments project is 67 acre-feet per year.,,,67,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2256&doc_id=e28575d5-2b84-11f0-856f-005056a89546,LADWP staff performed the water demand analysis and determined the net increase in total water demand for the Project is 67 acre-feet per year,high
Los Angeles Department of Water and Power,2024-09-10,program,"LADWP estimated the total project cost at $271,000,000 for planning, design, and construction of Restoration Park, Water Quality Laboratory, and Direct Potable Reuse Demonstration Facility.",,271000000,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2268,"The total Project is estimated to cost $271,000,000 over the planning, design, and construction timeline ... for the Restoration Park, ... and ... for the Direct Potable Reuse Demonstration Facility.",high
Los Angeles Department of Water and Power,2024-09-10,resolution,"Board minutes note the total project is estimated at $271,000,000 including a Direct Potable Reuse Demonstration Facility and reference a correction to the mitigation monitoring and reporting program.",,271000000,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2268&doc_id=c39c07b7-2b9b-11f0-856f-005056a89546,"The total Project is estimated to cost $271,000,000 over the planning, design, and construction timeline, ... for the Direct Potable Reuse Demonstration Facility.",high
Los Angeles Department of Water and Power,2024-09-24,report,LADWP performed a water demand analysis and determined the net water demand for the 2024 Project is approximately 155 acre-feet per year.,,,155,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2272&doc_id=75ebfd10-2b9c-11f0-856f-005056a89546,LADWP performed the water demand analysis and determined the net water demand for the 2024 Project is approximately 155 acre-feet per year,high
Los Angeles Department of Water and Power,2024-10-08,agreement,"LADWP to enter Agreement No. AO-5302 with MWD for Local Resources Program participation, providing up to $139,350,750; MWD funds $475/AF for first 15 years to recharge San Fernando Basin.",475,139350750,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2278,"The Agreement will provide LADWP a financial incentive of up to $139,350,750.",high
Los Angeles Department of Water and Power,2024-10-08,resolution,"Board adopted Resolution No. 025 073 approving Agreement No. AO-5302 with MWD to fund recycled water recharge up to $139,350,750 and $475 per acre-foot for 15 years; agreement term 25 years after operations begin.",475,139350750,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2278&doc_id=9504aa13-2b9b-11f0-856f-005056a89546,"the maximum amount of $139,350,750 at an annual maximum allowed incentive of $475 per acre-foot will be awarded to LADWP by MWD for a 15-year period",high
Los Angeles Department of Water and Power,2024-10-22,resolution,LADWP adopted a resolution committing to develop local water resources and beneficial reuse of recycled water to reduce dependence on purchased imported water supplies.,,,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2282&doc_id=ab1caf69-2b9b-11f0-856f-005056a89546,"LADWP is committed to the development of local water resources to form a more reliable and resilient water supply, including the beneficial reuse of recycled water, to reduce the City of Los Angeles¶ (City) dependence on purchased imported water supplies",high
Los Angeles Department of Water and Power,2024-11-19,report,LADWP performed a water demand analysis and determined the net water demand for the Walter J project is approximately 221 acre-feet per year.,,,221,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2287&doc_id=54eb8b16-2b8a-11f0-856f-005056a89546,LADWP performed the water demand analysis and determined the net water demand for the Project is approximately 221 acre-feet per year,high
Los Angeles Department of Water and Power,2025-02-25,resolution,LADWP proposed to participate in Metropolitan Water District's Reverse Cyclic Program allowing member agencies to purchase water in 2024 and 2025 for deferred deliveries in future years.,,,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2306&doc_id=c5a86f12-2b86-11f0-856f-005056a89546,"MWD is implementing a Reverse Cyclic Program for its member agencies that allows them to purchase water in 2024 and 2025 for deferred deliveries in future years; and WHEREAS, LADWP proposes to participate in the Reverse Cyclic Program",high
Los Angeles Department of Water and Power,2025-03-25,resolution,"Board approved funding, design, construction, and operation of a pilot testing facility using membrane bioreactor technology at Hyperion, providing up to $14.5 million to the Bureau of Sanitation and Environment.",,14500000,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2314&doc_id=f0a4f2d7-2b87-11f0-856f-005056a89546,"This Agreement provides up to $14.5 Million to the Los Angeles Department of Public Works, Bureau of Sanitation and Environment.",high
Los Angeles Department of Water and Power,2025-03-25,agreement,"LADWP to approve funding, design, construction, and operation of a pilot testing facility at Hyperion to produce nitrified-denitrified tertiary recycled water, providing up to $14.5 million to LA Public Works.",,14500000,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2315,"This Agreement provides up to $14.5 Million to the Los Angeles Department of Public Works, Bureau of Sanitation and Environment.",high
Los Angeles Department of Water and Power,2025-03-25,resolution,"LADWP approved Resolution No. 025178 to fund, design, construct, and operate a pilot membrane bioreactor tertiary recycled water facility at Hyperion, providing up to $14.5 million to LA Public Works.",,14500000,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2315&doc_id=5ef55917-2b88-11f0-856f-005056a89546,"RESOLUTION NO. 025 178 - Approval of Funding, Design, Construction, and Operation of a Pilot Testing Facility ... This Agreement provides up to $14.5 Million to the Los Angeles Department of Public Works, Bureau of Sanitation and Environment.",high
Los Angeles Department of Water and Power,2025-04-08,agreement,"LADWP to approve Project Funding Agreement 5325 with the Water Research Foundation for participation in Unsolicited Research Program for the Headworks DPR Pilot, providing a financial incentive up to $175,000.",,175000,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2320,"The proposed Agreement has a financial incentive of up to $175,000.",high
Los Angeles Department of Water and Power,2025-04-08,resolution,"Board adopted Resolution No. 025 197 approving Project Funding Agreement 5325 with the Water Research Foundation for the Headworks DPR Pilot, offering up to $175,000 in financial incentive.",,175000,,granicus,https://ladwp.granicus.com/MinutesViewer.php?view_id=2&clip_id=2320&doc_id=a464ad65-2b84-11f0-856f-005056a89546,"The proposed Agreement has a financial incentive of up to $175,000.",high
Los Angeles Department of Water and Power,2025-04-22,agreement,"LADWP to approve First Amendment to License Agreement with LA County Metropolitan Transportation Authority for Underground Recycled Water Lines, extending the term to month-to-month after initial four-year term.",,,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2324,Approval of the First Amendment to the License Agreement with Los Angeles County Metropolitan Transportation Authority for Underground Recycled Water Lines.,high
Los Angeles Department of Water and Power,2025-08-26,agreement,"LADWP to approve Amendment to Colorado River Six Agency Committee Funding Agreement to pay eight percent of Colorado River Board and JPA costs, amounting to $240,960, and extend the term by one year.",,240960,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2356,"The Amendment authorizes LADWP to pay eight percent of the Colorado River Board and Colorado River Joint Powers Authority’s costs in the amount of $240,960",high
Los Angeles Department of Water and Power,2025-10-28,agreement,"LADWP to approve Agreement No. WR-25-1000 with Forest Lawn for recycled water service at 6300 Forest Lawn Drive: 35-year term delivering approximately 800 AFY, increasing to 1,100 AFY contingent on tank construction.",,,800,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2376,"provides delivery of approximately 800 Annual Fiscal Year (AFY), which amount will increase to 1,100 AFY",high
Los Angeles Department of Water and Power,2025-11-18,agreement,"LADWP to approve Memorandum of Understanding with LAWA for the 98th Street Recycled Water Extension Project and reimburse LAWA up to $800,000 for incurred design, construction, and management costs over a five-year term.",,800000,,granicus,https://ladwp.granicus.com/AgendaViewer.php?view_id=2&clip_id=2381,"LADWP will reimburse LAWA up to $800,000, for the incurred costs of design, construction, construction management services, and will cover eligible expenses",high
Palo Verde Irrigation District,2023-01-17,report,Board noted the Colorado River Board meeting held 01/11/2023 and included a status report on the Forbearance and Fallowing Program Agreement in the agenda.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-01_Agenda.pdf,"Colorado River Board Meeting held 01/11/2023.
2. Status Report: Forbearance and Fallowing Program Agreement",high
Palo Verde Irrigation District,2023-02-21,report,"Board included Colorado River Board & Basin States discussion noting the Colorado River Board meeting held February 15, 2023 and a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-02_Agenda.pdf,"Colorado River Board Meeting held February 15, 2023
2. Status Report: Forbearance and Fallowing Program Agreement",high
Palo Verde Irrigation District,2023-04-18,report,Board noted the Colorado River Board meeting held 05/10/2023 and received a status report on the Forbearance and Fallowing Program Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-05_Agenda.pdf,"Colorado River Board Meeting held 05/10/2023
2. Status Report: Forbearance and Fallowing Program Agreement",high
Palo Verde Irrigation District,2023-04-18,report,Board referenced the Colorado River Board meeting for 04/12/2023 and received a status report on the Forbearance and Fallowing Program Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-04_Agenda.pdf,"Colorado River Board Meeting for 04/12/2023.
2. Status Report: Forbearance and Fallowing Program Agreement",high
Palo Verde Irrigation District,2023-04-18,report,Board noted Colorado River Board meeting (04/12/2023) and included a status report on the Forbearance and Fallowing Program Agreement in the agenda.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-03_Agenda.pdf,"Colorado River Board Meeting for 04/12/2023.
2. Status Report: Forbearance and Fallowing Program Agreement",high
Palo Verde Irrigation District,2023-06-20,report,Board received Colorado River Board & Basin States discussion and a status report on the Forbearance and Fallowing Program Agreement (Colorado River Board meeting held 6/14/2023).,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-06-20_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2023-06-26,agreement,"Management requested board approval to continue Olsen’s Engineering System, Inc. consulting services for grant funding for the Lower Colorado Conservation and Efficiency Program #2, not to exceed $100,000.",,100000,,ownsite_pvid,https://pvid.org/docs/agendas/2023-06-26_Agenda.pdf,"approval of Olsen’s Engineering System, Inc. continued consulting services regarding Grant Funding Lower Colorado Conservation and Efficiency Program #2, not to exceed $100,000",high
Palo Verde Irrigation District,2023-08-15,program,Board to discuss and/or approve submitting bucket #2 item #4 proposal for voluntary participation in the Lower Colorado Conservation and Efficiency Program.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-07_Agenda.pdf,Discuss and/or approval to submit bucket #2 item #4 Proposal for Voluntary Participation in the Lower Colorado Conservation and Efficiency Program,high
Palo Verde Irrigation District,2023-09-21,report,"Agenda references Colorado River Board meeting held September 13, 2023 and includes a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-09_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2023-10-17,report,Agenda notes Colorado River Board meeting (10/11/23) and provides a status report on the Forbearance and Fallowing Program Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-10_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2023-11-21,program,Board to discuss and/or approve a proposal to create System Water with MWD/PVID fallowing program using IRA funding for 2023-2026.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-11_Agenda.pdf,Discuss and/or approve Proposal to Create System Water with MWD/PVID Fallowing Program Using IRA Funding from 2023-2026,high
Palo Verde Irrigation District,2023-12-19,report,"Agenda references Colorado River Board meeting (12/13/2023) and an update on CRWUA, and includes a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2023-12_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2024-02-20,report,"Agenda notes Colorado River Board meeting held February 14, 2024 and includes a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-01_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2024-03-19,report,"Agenda notes Colorado River Board meeting (March 13, 2024), MWD Land Utilization meeting to discuss IRA funding, and includes a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-03_Agenda.pdf,"MWD Land Utilization Meeting was held March 8, 2024 to discuss IRA Funding",high
Palo Verde Irrigation District,2024-04-16,report,Agenda references Colorado River Board meeting (05/15/2024) and provides a status report on the Forbearance and Fallowing Program Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-04_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2024-06-18,report,Agenda notes Colorado River Board meeting held 6/12/2024 and includes a status report on the Forbearance and Fallowing Program Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-06_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2024-07-16,agreement,Board to discuss and/or approve revisions to the SCIA agreement between MWD and PVID IRA funding and a supplemental landowner agreement for IRA funding; status report on forbearance and fallowing.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-07_Agenda.pdf,Discuss and/or approve revisions to SCIA agreement between MWD and PVID IRA funding and supplemental landowner agreement for IRA funding,high
Palo Verde Irrigation District,2024-08-20,agreement,Board to discuss and/or approve the 2024 California Colorado River Contractors Forbearance Agreement under the Lower Colorado Conservation and Efficiency Program; status report on forbearance and fallowing.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-08_Agenda.pdf,Discuss and/or approve 2024 California Colorado River Contractors Forbearance Agreement for Conservation Agreements Under the Lower Colorado Conservation and Efficiency Program,high
Palo Verde Irrigation District,2024-09-19,report,"Palo Verde Irrigation District agenda included Colorado River Board & Basin States discussion and a Status Report on the Forbearance and Fallowing Program Agreement following the September 11, 2024 meeting.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-09_Agenda.pdf,2. Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2024-10-15,agreement,Palo Verde Irrigation District to discuss and/or approve the 2024 California Colorado River Contractors Forbearance Agreement for conservation under the Lower Colorado Conservation and Efficiency Program.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-10_Agenda.pdf,Discuss and/or approve 2024 California Colorado River Contractors Forbearance Agreement for Conservation Agreements Under the Lower Colorado Conservation and Efficiency Program,high
Palo Verde Irrigation District,2024-11-19,report,Palo Verde Irrigation District received an update and status report on the Forbearance and Fallowing Program Agreement and noted Colorado River Board meetings for November 2024.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-11_Agenda.pdf,2. Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2024-12-17,agreement,"Palo Verde Irrigation District to discuss and/or approve extension for IRA Bucket 1a Funding to December 31, 2026 and received a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2024-12_Agenda.pdf,"Discuss and/or approve extension for IRA Bucket 1a Funding to December 31, 2026",high
Palo Verde Irrigation District,2025-01-21,agreement,"Palo Verde Irrigation District to discuss/approve extension for IRA Bucket 1a Funding to December 31, 2026 and to discuss/approve the 2025 California Colorado River Contractors Forbearance Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-01_Agenda.pdf,2. Discuss and/or approve 2025 California Colorado River Contractors Forbearance Agreement for Conservation Agreements Under the Lower Colorado Conservation and Efficiency Program,high
Palo Verde Irrigation District,2025-02-18,report,Palo Verde Irrigation District agenda included a Status Report on the Forbearance and Fallowing Program Agreement and referenced Colorado River Board scheduling for February 2025.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-02_Agenda.pdf,2. Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2025-03-18,agreement,"Palo Verde Irrigation District board to review and/or approve the 2025 California Forbearance Agreement and received Colorado River Board updates from the March 12, 2025 meeting.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-03_Agenda.pdf,1. Review and/or approve 2025 California Forbearance Agreement,high
Palo Verde Irrigation District,2025-04-15,report,Palo Verde Irrigation District board received an update and status report regarding the Forbearance and Fallowing Program Agreement and referenced the Colorado River Board meeting held 05/14/2025.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-05_Agenda.pdf,4. Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2025-04-15,report,Palo Verde Irrigation District agenda included a Status Report on the Forbearance and Fallowing Program Agreement; Colorado River Board meeting was not scheduled for April 2025.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-04_Agenda.pdf,2. Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2025-06-17,report,Palo Verde Irrigation District board received a status report on the Forbearance and Fallowing Program Agreement and discussed the Colorado River Board meeting held 6/11/2025.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-06_Agenda.pdf,2. Status Report: Forbearance and Fallowing Program Agreement,high
Palo Verde Irrigation District,2025-07-15,agreement,Discuss and/or approve the 2025 Amendment to The Six Agency Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-07_Agenda.pdf,Discuss and/or approve 2025 Amendment to The Six Agency Agreement,high
Palo Verde Irrigation District,2025-08-19,agreement,"Consider approving amendments to MWD-PVID System Conservation Implementation Agreement and Reclamation/MWD SCIA to extend program end to December 31, 2026.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-08_Agenda.pdf,"approve amendment ... to extend the end of the program from July 31, 2026 to December 31, 2026",high
Palo Verde Irrigation District,2025-09-18,report,Discuss Colorado River Board matters and review status report on the Forbearance and Fallowing Program Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-09_Agenda.pdf,"Colorado River Board & Basin States Discussion: a. Colorado River Board Meeting held September 11, 2024.",high
Palo Verde Irrigation District,2025-10-21,position,PVID to seek counsel to represent PVID in PPR and any Basin States disputes.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-10_Agenda.pdf,PVID to seek counsel to represent PVID in PPR and any Basin States disputes,high
Palo Verde Irrigation District,2025-11-18,report,"Receive updates on CEC meetings, IRA funding, and a status report on the Forbearance and Fallowing Program Agreement.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2025-12_Agenda.pdf,Status Report: Forbearance and Fallowing Program Agreement,medium
Palo Verde Irrigation District,2026-01-20,report,Discuss the Program Environmental Impact Report for the proposed Conserved Water Supply Program.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2026-01_Agenda.pdf,Discuss Program Environmental Impact Report for the proposed Conserved Water Supply Program,high
Palo Verde Irrigation District,2026-02-19,agreement,"Consider approving Harvey Consulting Group's $250,000 proposal to prepare an EIR and EIS.",,250000,,ownsite_pvid,https://pvid.org/docs/agendas/2026-02_Agenda.pdf,"proposal submitted by Harvey Consulting Group for $250,000 to create an Environmental Impact Report (EIR) and an Environmental Impact Statement (EIS)",high
Palo Verde Irrigation District,2026-03-17,agreement,PVID to review and/or approve the 2026 California Forbearance Agreement.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2026-03_Agenda.pdf,Review and/or approve 2026 California Forbearance Agreement,high
Palo Verde Irrigation District,2026-04-21,program,PVID to discuss a Bureau of Reclamation letter regarding Water Conservation Programs for the 2027-2028 water years.,,,,ownsite_pvid,https://pvid.org/docs/agendas/2026-04_Agenda.pdf,Discuss letter received from the Bureau of Reclamation regarding Water Conservation Programs for the 2027-2028 water years,high
Palo Verde Irrigation District,2026-06-03,agreement,"Board to discuss and/or approve a Voluntary Supplemental Fallowing Agreement covering August 1, 2026 to December 31, 2026.",,,,ownsite_pvid,https://pvid.org/docs/agendas/2026-05_Agenda.pdf,"Discuss and/or approve Voluntary Supplemental Fallowing Agreement from August 1, 2026 to December 31, 2026",high
Palo Verde Irrigation District,2026-06-16,rate,PVID board to discuss Reclamation's offer to extend SCIA Bucket 1 at $325/acre-foot through the 2027-2028 water year.,325,,,ownsite_pvid,https://pvid.org/docs/agendas/Current_Agenda.pdf,discuss the Bureau of Reclamation’s offer to extend SCIA Bucket 1 program for the reduced price of $325/acre-foot through the 2027-2028 water year,high
Southern Nevada Water Authority,2025-03-27,vote,Final action: Director Diaz moved to approve staff’s recommendation authorizing the General Manager to sign the Owner-CMAR Construction Agreement; board also received an update on Colorado River Basin drought and conservation programs.,,,,ownsite_snwa,https://www.snwa.com/universal/agenda/getfile.cfml?id=5607,FINAL ACTION: Director Diaz made a motion to approve staff’s recommendation. The motion was approved.,medium
Southern Nevada Water Authority,2025-04-17,position,SNWA will continue work with Colorado River Basin States on river operations and support water conservation initiatives; minutes note progress toward regional conservation goals and a new 5-year plan.,,80000000,,ownsite_snwa,https://www.snwa.com/universal/agenda/getfile.cfml?id=5548,Continue work with Colorado River Basin States on river operations,high
Southern Nevada Water Authority,2025-05-21,rate,For FY2025-26 SNWA increased the wholesale delivery charge for treated water from $396 to $407 per acre-foot.,407,9200000,,ownsite_snwa,https://www.snwa.com/universal/agenda/getfile.cfml?id=5508,"For fiscal year 2025-26, the wholesale delivery charge for treated water sold will rise by $22 per acre-foot. This increases the charge from $396 to $407 per acre-foot.",high
Southern Nevada Water Authority,2025-05-21,report,"Agenda authorizes Owner-CMAR Construction Agreement for the Ozone Equipment Upgrades Project ($92,374,390 with $5,000,000 contingency) and includes a staff update on Colorado River Basin drought, conservation, and resource development.",,92374390,,ownsite_snwa,https://www.snwa.com/universal/agenda/getfile.cfml?id=5507,"For Information Only: Receive an update from staff on water resources including, but not limited to, drought conditions in the Colorado River Basin",high
Southern Nevada Water Authority,2025-05-22,report,Board received a staff update on water resources including Colorado River Basin drought conditions; Deputy GM Colby Pellegrino presented; minutes record approval of the referenced construction agreement motion.,,17984414,,ownsite_snwa,https://www.snwa.com/universal/agenda/getfile.cfml?id=5747,"Receive an update from staff on water resources including, but not limited to, drought conditions in the Colorado River Basin",high
