stakeholder,org_as_stated,date,source_type,position_summary,quote,doc_url,confidence
City of Phoenix,City of Phoenix,2024-12-11,board_agreement,City of Phoenix requested adding to the agenda to enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation (Ordinance S-51563).,Enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation - Ordinance S-51563,https://phoenix.legistar1.com/phoenix/attachments/4404eff4-8423-48ba-87db-2148c87beb21.pdf,high
City of Phoenix,City of Phoenix,2024-12-11,board_agreement,Add-on item to enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation (Ordinance S-51563) - citywide.,ADD-ON - Enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation (Ordinance S-51563) - Citywide,https://webapi.legistar.com/v1/phoenix/matters/31076/attachments,high
City of Santa Fe,City of Santa Fe,2026-05-27,board_program,"City established the Conservation and Sustainability Division in FY26 to focus on water conservation, reuse, environmental sustainability, and oversight of Keep Santa Fe Beautiful.","The newly-created Conservation and Sustainability Division was established in FY26 and is focused on water conservation and reuse, environmental sustainability and the work of Keep Santa Fe Beautiful.","https://santafenm.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2724,plainText=false)",high
City of Tucson,City of Tucson and Tucson Water,2023-12-06,usbr_post2026_letter,"Recommends implementation of the Proposed Action (""Lower Division Proposal"") to conserve up to 3 MAF through 2026, reduce risks to Lake Powell and Lake Mead, and supports continued cooperative voluntary conservation and Bureau management actions.","Recommendation: The City of Tucson and Tucson Water recommend the implementation of the Proposed Action (""Lower Division Proposal"").",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/562_City of Tucson_Tucson Water_508.pdf,high
City of Yuma,City of Yuma,2023-12-11,usbr_post2026_letter,"Asks Reclamation to halt and reconsider support for off‑river and out‑of‑basin Colorado River water transfers, issue an injunction/stay on transfer applications until the system can meet current allocations, and ensure the RDSEIS assesses long‑term adverse impacts and protections.",Yuma urges BOR to provide an injunction to future off-river water transfers of Colorado River water and institute a stay for future water transfer applications until the Colorado River system is capable of fulfilling its current water allocation commitments in-tum.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/317_City of Yuma_508.pdf,high
Clifton Water District,Helix Water District,2023-07-24,usbr_post2026_letter,Advocates conservation and reuse as primary means to reduce water use; requests financial support (grants) for large reuse projects and encourages state action on conservation and new supplies to ensure equity.,"Conservation is the most affective way of cutting back water use (low flow toilets, appliances, landscape solutions, paying for removal of grass, recycled water, repurified water).",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,medium
Coachella Valley Water District,Coachella Valley Water District,,board_resolution,"Consider Resolution No. 1167 supporting a WaterSMART Title XVI WIIN Act Water Reclamation and Reuse grant proposal for the Carpinteria Advanced Purification Project; WestWater Research budget revised from $72,000 to $86,000.",Consider Resolution No. 1167 Supporting the agency proposal for federal financial assistance authorized by WaterSMART,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=234,medium
Coachella Valley Water District,Coachella Valley Water District,,board_vote,"Board consideration of appointments to committees including Recycled Water Committee (Matt Roberts and Casey Balch, alternates Case Van Wingerden and vacant).",Recycled Water (currently) Matt Roberts and Casey Balch Alternates: Case Van Wingerden and vacant,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=228,medium
Coachella Valley Water District,Coachella Valley Water District,,board_program,"Consider authorization to engage appraisal services for CAPP (not to exceed $5,000) and to participate in the CCWA Surplus Water Transfer Program.",Consider authorization to participate in the CCWA Surplus Water Transfer Program,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=220,medium
Coachella Valley Water District,Coachella Valley Water District,,board_agreement,"Consider engaging M Cubed to update CAPP economic analysis (not to exceed $15,200) and Woodard & Curran to assist with USBR Water Management Plan 5-year update (not to exceed $18,050).","Consider Engaging M Cubed to update Economic Analysis for CAPP in an amount not to exceed $15,200",https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=211,medium
Coachella Valley Water District,Coachella Valley Water District,,board_vote,"Consider appointments to Board Committees, including Recycled Water Committee and Rate & Budget Committee (appointment of directors and alternates).",Consider appointments to Board Committees 1. Recycled Water Committee Matt Roberts and Casey Balch Alternates: Shirley Johnson and Case Van Wingerden,https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=205,medium
Coachella Valley Water District,Coachella Valley Water District,,board_agreement,"Consider engaging Montgomery & Associates in an amount not to exceed $162,000 for CAPP hydrogeologic modeling services (for action, General Manager McDonald).","Consider Engaging Montgomery & Associates in an Amount not to Exceed $162,000 for CAPP Hydrogeologic Modeling Services (for action, General Manager McDonald)",https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=200,medium
Coachella Valley Water District,Coachella Valley Water District,,board_agreement,"Consider engaging FM3 Research to conduct customer polling on CAPP concerns (for action, General Manager McDonald).","Consider engaging FM3 Research to conduct customer polling on CAPP concerns (for action, General Manager McDonald)",https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=227,medium
Coachella Valley Water District,Coachella Valley Water District,,board_resolution,"Consider approval of the CAPP EIR Addendum and related CAPP JEPA and Ground Lease (for action, General Manager McDonald).","Consider approval of the CAPP EIR Addendum (for action, General Manager McDonald)",https://cvwd.granicus.com/AgendaViewer.php?view_id=1&clip_id=225,medium
Coachella Valley Water District,Coachella Valley Water District,2024-01-24,board_vote,Board approved appointments to committees including Recycled Water Committee: Matt Roberts and Casey Balch with alternates Shirley Johnson & Case Van Wingerden.,Recycled Water Committee Matt Roberts and Casey Balch Alternates: Shirley Johnson & Case Van Wingerden,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=205&doc_id=05724881-d274-11ee-8fe8-0050569183fa,high
Coachella Valley Water District,Coachella Valley Water District,2024-11-13,board_vote,"Board approved the CAPP EIR Addendum by motion (motion carried 5-0) as presented by WSC (minutes of Nov 13, 2024).","Director Holcombe moved, and Director Balch seconded the motion approving the CAPP EIR Addendum. The motion carried by a 5-0 vote.",https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=225&doc_id=7d470897-c3e6-11ef-a9e2-005056a89546,high
Coachella Valley Water District,Coachella Valley Water District,2024-12-11,board_vote,"Board engaged FM3 Research to conduct customer polling; motion carried by a 5-0 vote (minutes of Dec 11, 2024).",Engage FM3 Research to conduct customer polling. The motion carried by a 5-0 vote.,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=227&doc_id=0c768465-d2a0-11ef-a9e2-005056a89546,high
Coachella Valley Water District,Coachella Valley Water District,2025-01-08,board_vote,Board approved appointments to committees including Recycled Water Committee: Matt Roberts & Casey Balch with alternates Case Van Wingerden & Patrick O’Connor.,Recycled Water Committee Matt Roberts & Casey Balch Alternates: Case Van Wingerden & Patrick O’Connor,https://cvwd.granicus.com/MinutesViewer.php?view_id=1&clip_id=228&doc_id=47948d40-e017-11ef-a9e2-005056a89546,high
Colorado River Board of California,Colorado River Board of California,2020-11-10,usbr_post2026_letter,"Requests revisions to Reclamation’s 7D Effectiveness Review: add and highlight examples of the Guidelines’ effectiveness (e.g., ~3.2 MAF conserved), clarify inclusion of Upper Basin demands and Mexico deliveries, correct Lower Basin use figures, cross‑reference ICS actions, and provide irrigated‑acreage data.",The Board recommends adding specific examples of the effectiveness from Section 7 of the draft report to strengthen the case being made in Section 8.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CRBCA.pdf,high
Colorado River Board of California,Colorado River Board of California,2020-11-16,usbr_post2026_letter,Supports the draft overall but requests clarifications and additions: highlight conserved Lower Basin water stored in Lake Mead; include Upper Basin demands and Mexico delivery; clarify Glen Canyon Dam release/powerplant limits; correct Lower Basin water-use figures; cross-reference 2017 MWD ICS modification.,The Board suggests incorporating these examples into the narrative discussion of the effectiveness in Section 8.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CRBCA_Comment Form.pdf,high
Colorado River Commission of Nevada,Colorado River Commission of Nevada (CRC),2020-11-16,usbr_post2026_letter,"CRC supports Reclamation's evaluation and conclusions on the 2007 Guidelines and the 7D review scope; endorses stakeholder engagement. Requests Section 6 be placed in an appendix, more detailed resource analyses in future studies/renegotiations, and greater depth in Section 8.",The CRC agrees with Reclamation on the scope of the 7D review. Evaluating the purpose and theme provides sufficient evidence of the success of the Guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CRCNV_Comment Form.pdf,high
Colorado River Commission of Nevada,COLORADO RIVER COMMISSION OF NEVADA,2023-08-15,usbr_post2026_letter,"Requests Reclamation protect Nevada’s 300,000 acre-feet allocation and Southern Nevada’s water supply as it develops Post-2026 operations, and submits comments for the EIS.","The CRCNV is the state agency responsible for protecting Nevada’s annual 300,000 acre-feet allocation from the Colorado River.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Colorado River Commission of Nevada,COLORADO RIVER COMMISSION OF NEVADA,2023-12-11,usbr_post2026_letter,"Supports Reclamation's proposed alternative (Lower Basin Proposal) and near-term actions; requests reservoir protection elevations (Lake Mead 1,000' and Lake Powell 3,500'); objects to incorporating parts of eliminated Alternatives without analysis and disputes shortage-allocation assumptions and Nevada entitlement date interpretations.",The CRCNV supports the proposed alternative's near-term actions that will reduce the risks to the Colorado River Basin.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/301_Colorado River Committee State of Nevada_508.pdf,high
Colorado River Indian Tribes,COLORADO RIVER INDIAN TRIBES,,usbr_post2026_letter,Asserts CRIT holds present perfected reserved water rights to directly divert from the Colorado River and that Reclamation lacks authority to assess system losses against CRIT deliveries; urges recognition of these rights in post-2026 operations.,The United States does not have the authority to assess system losses against the delivery of water to the Colorado River Indian Reservation.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Colorado River Indian Tribes,Indian Tribes,,usbr_post2026_letter,"Opposes mandatory substitute-water policies, especially effluent substitution; concerns include crop choice restrictions, unknown long-term effects, and economic/ logistical impracticalities in some situations.","Without exception, the tribes are vigorously opposed to a mandatory substitute water concept, especially involving effluent.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Colorado River Indian Tribes,Indian Tribes,,usbr_post2026_letter,"Oppose any mandatory substitute water requirement, especially involving effluent; cite restrictions on crop choices, unknown long-term effects, and potential uneconomical or disruptive exchange situations.","Without exception, the tribes are vigorously opposed to a mandatory substitute water concept, especially involving effluent.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Colorado River Indian Tribes,Colorado River Indian Tribes,2022-09-01,usbr_post2026_letter,Demands inclusion in all substantive meetings to develop operational guidelines and rejects being informed post-hoc of decisions or agreements reached with basin states.,The CRIT do not want to be informed of the decisions made or agreements reached with the Basin States.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Colorado River Indian Tribes,COLORADO RIVER INDIAN TRIBES OFFICE OF THE ATTORNEY GENERAL,2022-10-26,usbr_post2026_letter,"Asserts that CRIT's water rights allocation must not be assessed for system losses (evaporation, seepage, phreatophyte use) and opposes any process that would charge system losses against the Tribe's allocation.",The water rights allocation of the Colorado River Indian Tribes is not subject to an assessment of system losses.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Colorado River Indian Tribes,Colorado River Indian Tribes,2022-12-29,usbr_post2026_letter,"Requests Reclamation acknowledge CRIT's unique decreed water rights and trust obligations, include all tribes in system conservation programs, avoid forcing Lower Basin alone to protect Glen Canyon Dam, and create a system conservation account to preserve river flows for environmental and cultural needs.",We expect that Reclamation will prepare its alternatives with the full knowledge of the unique aspects of each tribe's water rights including the unique nature of the decreed water rights of the Colorado River Indian Tribes.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Colorado River Indian Tribes,COLORADO RIVER DISTRICT,2023-08-15,usbr_post2026_letter,"Urges bold, meaningful post-2026 changes consistent with the Law of the River: make operations hydrology-driven, adopt depletion accounting in the Lower Basin, plan for a wide range of hydrologic futures, eliminate gameable tiers, and limit guidelines to Lakes Powell and Mead.","Hydrology, not reservoir levels, must drive post 2026 operations.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,medium
Colorado River Indian Tribes,COLORADO RIVER INDIAN TRIBES,2023-08-15,usbr_post2026_letter,"Requests the DEIS protect CRIT's present perfected water rights, ensure ability to fully use its allocation, exclude uncompensated reallocations, include CRIT in conservation programs, analyze impacts (economic, cultural, environmental), disclose MSCP changes, and ensure meaningful consultation.",we will oppose any alternative in the post-2026 NEPA process that seeks to involuntarily reallocate the CRIT's water rights with or without just compensation.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Colorado River Indian Tribes,COLORADO RIVER INDIAN TRIBES,2023-12-11,usbr_post2026_letter,"Requests Reclamation explicitly acknowledge Alternative 2 is unlawful under the Arizona v. California Decree and NEPA, clarify it lacks authority to reduce CRIT deliveries, analyze environmental impacts of Lower Division Proposal conservation measures, and ensure solutions respect CRIT priority rights and Tribal participation.",Alternative 2 would have constituted an illegal taking of CRIT's property in violation of the 5th Amendment to the Constitution and a breach of Reclamation's duty to protect our trust assets.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/296_Colorado River Indian Tribes_508.pdf,high
Colorado River Indian Tribes,COLORADO RIVER INDIAN TRIBES,2024-11-07,usbr_post2026_letter,Requests inclusion of CRIT's proposed alternative in the Post-2026 NEPA process; opposes any involuntary reallocation of the Tribe's senior water rights without CRIT consent; demands Reclamation justify authority to assess system losses and fix accounting practices that disadvantage the Tribe.,Such reallocation of water from the CRIT to Junior priority users violates the injunctive order of the Supreme Court provided in the Consolidated Decree,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-11-12_CRIT_L_Commissioner_Touton_508.pdf,high
Colorado River Water Conservation District,Colorado River Water Conservation District (Colorado River District),2023-12-11,usbr_post2026_letter,"Requests Lower Basin reductions be mandatory, enforceable, measurable, verifiable, and non-retrievable, distinct from ICS and prior pledges; urges retaining original DSEIS operational tiers, including 6.0 MAF releases when Lake Powell ≤ 3,575', and opposes reverting to 2007 tiers.","The Colorado River District believes that operational approach from the original DSEIS should remain in the SEIS, so that when Lake Powell is at or below elevation 3,575, releases are set at 6.0MAF",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/300_Colorado River District_508.pdf,high
Colorado Springs Utilities,Colorado Springs Utilities,,usbr_post2026_letter,No policy position visible in this excerpt; only signature/affiliation is shown.,Lisa Barbato Chief Water Services Officer Genera l Manager Colorado Springs Utilities,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Denver Water,ervan cy Denver Water District,,usbr_post2026_letter,No policy position visible in this excerpt; only signature/affiliation is shown.,ervan cy Denver Water District,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Department of Energy,"Department of Energy, Western Area Power Administration, Colorado River Storage Project",2024-06-03,usbr_post2026_letter,"WAPA-CRSP supports including the NPS/USFWS joint alternatives in the Post-2026 EIS; asks Reclamation to consider LTEMP cumulative impacts, target Lake Powell ≥3,570 ft on Oct 1, maintain Pearce Ferry fish barrier, consider combined Mead/Powell accounting, and shift Powell accounting to April 1.","Target Lake Powell elevation to be at or above 3,570 feet on October 1.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024_06_03_WAPA_Letter_508.pdf,high
Dolores Water Conservancy District,Dolores Water Conservancy District,2020-11-16,usbr_post2026_letter,"Requests the Draft 7.D Review be expanded to evaluate impacts to Lake Powell and the Upper Basin, analyze alternative Powell operations to protect Upper Basin uses and planned development, and examine potential future impacts from Lower Basin ICS withdrawals.",I do not think that the 7.D Review adequately addressed impacts to Lake Powell. It could have contrasted alternate operations of Powell that would consider protection of UB uses now and planned future development.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_DWCD_Comment Form.pdf,high
Dolores Water Conservancy District,Dolores Water Conservancy District,2023-08-15,usbr_post2026_letter,"Opposes operations that drive Lake Powell to dangerously low levels; urges Reclamation to evaluate alternatives that force Lower Basin compliance, consider evaporation and tributary accruals, limit Powell releases to protect Lee Ferry deliveries, and use Long-Range Operating Criteria for No Action analysis.",DWCD is concerned that Reclamation operations of Lake Powell and Lake Mead not continue to contribute to the challenges of drought by artificially driving Lake Powell to dangerously low levels,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Environmental Protection Agency,U.S. Environmental Protection Agency,2023-08-15,usbr_post2026_letter,"Requests climate-oriented, science-based modeling; increased management flexibility, climate adaptation and infrastructure resilience; environmental justice analysis; tribal and Mexico coordination; evaluation of robust alternatives and demand management; and that EPA serve as a cooperating agency.",The EPA respectfully requests to be a cooperating agency to provide support to Reclamation regarding the identification and analysis of issues to be addressed in the Draft EIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Environmental Protection Agency,UNITED STATES ENVIRONMENTAL PROTECTION AGENCY REGION IX,2023-08-15,usbr_post2026_letter,"Supports Reclamation identifying and analyzing alternatives to replace expiring interim guidelines and align available supplies with deliveries to increase stability, protect public health and the environment, and provides NEPA Section 309 review recommendations for the Draft EIS.",The EPA supports Reclamation in identifying and analyzing alternatives to achieve these goals.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Environmental Protection Agency,Environmental Protection Agency,2023-12-08,usbr_post2026_letter,"EPA requests Reclamation revise the Final SEIS to incorporate environmental justice (EO 14096) and Justice40 considerations, address Tribal impacts and historic inequities, improve government-to-government consultation, assess Tribal water rights, and include air-quality mitigation (Salton Sea) and post-2026 planning guidance.",EPA identified areas for improvement in the analysis and recommends these be addressed in the Final SEIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/380_Environmental Protection Agency_508.pdf,high
Fort McDowell Yavapai Nation,Fort McDowell Yavapai Nation,2023-11-28,usbr_post2026_letter,Supports Reclamation efforts to maintain healthy reservoir levels and participates in conservation; urges BOR to ensure the Nation's water settlement assets remain available indefinitely and that the Tribe is treated equitably regarding Indian Trust Assets.,The Nation is supportive of BOR efforts to maintain healthy reservoir levels and is currently participating in Lower Colorado system conservation under the Lower Colorado Conservation and Efficiency Program.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/109_Fort McDowell Yavapai Nation_508.pdf,high
"Getches-Wilkinson Center for Natural Resources, Energy, and the Environment","Getches-Wilkinson Center for Natural Resources, Energy, and the Environment, Colorado School of Law",2023-08-15,usbr_post2026_letter,Requests the Bureau discuss Colorado's conditional water rights (notably held by oil shale companies) with Colorado and include disclosure and analysis of this issue in the NEPA analysis for post-2026 operating guidelines.,We encourage the Bureau to discuss the issue of conditional water rights with Colorado to understand how Colorado is planning for the potential that those rights could be put to beneficial use.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Gila River Indian Community,Gila River Indian Community,,usbr_post2026_letter,Asks the EIS to assess whether reductions in Colorado River deliveries to tribes with statutory entitlements will be permanent or nearly permanent and to address the need to find replacement water; seeks protection of tribal water rights.,Thank you for considering the Community 's views on what the EIS should cover.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Gila River Indian Community,Gila River Indian Community,,usbr_post2026_letter,"Requests increase of proposed allocation from 173,100 to 276,576 acre-feet/year; asserts the Secretary erred in estimating presently developed acreage, available surface water, and effective groundwater yields.","requested that its proposed allocation of 173,100 acre-feet per year be increased by an additional 103,476 acre-feet per year",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Gila River Indian Community,Gila River Indian Community,2020-11-13,usbr_post2026_letter,"Requests the Report acknowledge failures in government-to-government tribal consultation and document how shortcomings were addressed; demands explicit, meaningful tribal consultation in any replacement Guidelines; and asks the Report to reflect that ICS accumulation limits prevent the Community from creating more ICS.","The Community requests that these consultation missteps be addressed in the Report, as well as how the United States compensated for this initial mistake.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_GRIC.pdf,high
Gila River Indian Community,Gila River Community,2023-06-08,usbr_post2026_letter,"Requests that all 38 sovereign governments (U.S., seven basin states, and 30 basin tribes) be included as equal sovereigns whenever the U.S. meets with basin state principals.",the table should include representatives from all 38 sovereign governments in the United States’ portion of the basin.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,medium
Gila River Indian Community,GILA RIVER INDIAN COMMUNITY,2023-08-15,usbr_post2026_letter,"Supports an EIS that stabilizes the Colorado River System, adopts flexible conservation tools, fairly shares reductions across all entitlement holders, incorporates Reclamation's trust responsibilities to protect tribal water resources, and addresses operations of the entire river system.",all Colorado River water users must now address the imbalance between supply and demand within the Colorado River System.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Gila River Indian Community,GILA RIVER INDIAN COMMUNITY,2023-12-11,usbr_post2026_letter,Requests any reductions to Tribal statutory water entitlements be voluntary and compensated or replaced; urges Reclamation to revise SEIS to recognize CAP Tribal entitlements as Indian Trust Assets (revise Section 3.18); wait for Q1 2024 runoff data; prioritize Bucket 2 efficiency and supply projects.,"Regardless of which Alternative Reclamation ultimately adopts, Reclamation should ensure any and all reductions to Tribal statutory water entitlements are voluntary and compensated or replaced.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/320_Gila River Indian Community_508.pdf,high
Gila River Indian Community,Gila River Indian Community,2024-03-29,usbr_post2026_letter,"Requests Reclamation model the Community Alternative: middle-ground assumptions that more fairly share cuts, protect tribal water settlements, and ensure mitigation/replacement for tribal losses; opposes the Upper Basin and the Lower Basin alternatives as unfairly burdening Arizona and tribes.","The LB Altemative places too much of its proposed Initial Reduction Zone and Static Reduction Zone reduction volumes on Arizona, with a maximum of 760,000 acre-feet per year ('AFY').",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/Ltr_Camille_Touton_2024001Signed_GRIC_508.pdf,high
Grand Canyon Trust,Grand Canyon River Guides,,usbr_post2026_letter,"Urges Reclamation to include alternatives that stabilize the basin by reducing consumptive use to match natural supply, strengthen Purpose and Need (use climate/aridification), include NPS and Tribes as cooperating agencies, raise minimum flows for safety, and consider managing Powell and Mead as one reservoir.",Balancing and stabilizing the system so that long term average consumptive uses and losses do not exceed the natural supply is absolutely imperative for the long-term sustainability of the Colorado River system,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,medium
Grand Canyon Trust,Grand Canyon River Guides,,usbr_post2026_letter,"Urges strong protections for Grand Canyon resources: minimize non-native fish passthrough by keeping Lake Powell above 3525’, protect sediment and native fish, ensure High Flow Experiments, develop a “Protect Grand Canyon” alternative, and plan for worst-case hydrology up to 50% flow reductions.",Due consideration must be made to keeping Lake Powell above the 3525’ threshold to minimize passthrough and reduce warming of the river below Glen Canyon Dam.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,medium
Grand Canyon Trust,GRAND CANYON TRUST,,usbr_post2026_letter,"Requests post-2026 guidelines incorporate environmental and cultural objectives, tribal water security, equity, groundwater conservation, and sustainability; urges integrating LTEMP/AMWG science and creating demand-reduction plans to stabilize and recover reservoir levels.",Reclamation should consider the values we articulated above including: 1) the health and integrity of the Colorado River and its tributaries; 2) tribal sovereignty and water security of the 30 tribal nations; 3) equity for both people and nature,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Grand Canyon Trust,Grand Canyon Trust,,usbr_post2026_letter,"Submits scoping comment urging development of post-2026 guidelines that protect ecological, cultural, and community values of the Colorado River and support just, sustainable management and climate resilience.",We appreciate the opportunity to provide scoping comment on the development of the post-2026 guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Grand Canyon Trust,The Trust,,usbr_post2026_letter,"Requests post-2026 guidelines expand beyond Lakes Powell and Mead to prioritize the sustainability and intrinsic value of the Colorado River and its tributaries, incorporate tribal sovereignty and equity, include environmental and cultural values, engage 30 basin tribes, and modify objectives and scope of the EIS.",The post-2026 guidelines must go beyond the operation of Lakes Powell and Mead and include provisions that acknowledge and ensure the sustainability of the Colorado River and its tributaries.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Grand Canyon Trust,The Trust,,usbr_post2026_letter,"Urges Reclamation to complete and affirm an evaporation/seepage study, meaningfully include tribes as equal sovereigns, and coordinate climate resilience planning and other Reclamation actions to inform post-2026 guidelines.",A Reclamation evaporation study needs to be completed and its methods affirmed by the other sovereigns in the basin,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Grand Canyon Trust,The Trust,,usbr_post2026_letter,"Requests integrated timing and coordination of announced actions with post-2026 guidelines; urges worst-case scenario climate resilience planning, reassessment of dam infrastructure, public inclusive processes, and evaluation of storage distribution between Lake Powell and Lake Mead.",We believe that this type of climate resilience planning at Glen Canyon and Hoover Dams is critical and should occur alongside the development of the post-2026 guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Grand Canyon Trust,Grand Canyon Trust,2004-06-01,regulations.gov:FAA-2004-17460,,,https://www.regulations.gov/comment/FAA-2004-17460-0007,high
Grand Canyon Trust,Grand Canyon Trust,2004-06-04,regulations.gov:FAA-2004-17460,,,https://www.regulations.gov/comment/FAA-2004-17460-0014-0002,high
Grand Canyon Trust,"Grand Canyon River Guides, Inc.",2009-09-11,regulations.gov:NPS-2009-0001,5) We ask that Grand Canyon National Park continue respectful government-to-government relations with the various tribes whose lands border the park in order to successfully address tribal concerns and needs.,,https://www.regulations.gov/comment/NPS-2009-0001-0006,medium
Grand Canyon Trust,"Grand Canyon River Guides, Inc.",2023-08-15,usbr_post2026_letter,"Requests post-2026 operations protect Grand Canyon values per the Grand Canyon Protection Act: ensure HFEs to replenish sandbars, maintain safe navigable base flows, protect native fish and cultural resources, and adopt sustainable, ecologically responsible operational strategies.","The Secretary shall operate Glen Canyon Dam… in such a manner as to protect, mitigate adverse impacts to, and improve the values for which Grand Canyon National Park and Glen Canyon National Recreation Area were established",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,medium
Grand Canyon Trust,Grand Canyon Trust,2023-08-15,usbr_post2026_letter,"Provides scoping comments on Post-2026 operational guidelines, urging inclusive, sustainable, and adaptive rules to replace outdated agreements; emphasizes protecting cultural, environmental, recreational, and tribal values of the Grand Canyon and improving long-term system stability.","The scoping process—and ultimately what (or whom) gets included or excluded from the guidelines—may be one of the most important factors influencing the effectiveness, sustainability, and longevity of the post-2026 guidelines.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
